Campaign_ID,Campaign_Name,Launch_Date,Department,Recipient_Count,Clicked_Count,Reported_Count,Click_Rate,Training_Completed,Follow_up_Date
PHISH-2024-01,HR: Benefits Enrollment,2024-01-01,IT,67,8,3,13.4%,6,2024-01-15
PHISH-2024-02,COVID-19 Policy Update,2024-01-31,Operations,95,10,4,11.2%,11,2024-02-14
PHISH-2024-03,COVID-19 Policy Update,2024-03-01,All,217,26,10,12.3%,22,2024-03-15
PHISH-2024-04,COVID-19 Policy Update,2024-03-31,Operations,67,5,1,8.9%,4,2024-04-14
PHISH-2024-05,Urgent: Password Reset Required,2024-04-30,IT,83,7,2,9.4%,8,2024-05-14
PHISH-2024-06,Shipping Document Pending,2024-05-30,All,266,29,11,11.1%,34,2024-06-13
PHISH-2024-07,CEO: Wire Transfer Request,2024-06-29,IT,47,4,1,9.9%,3,2024-07-13
PHISH-2024-08,Annual Bonus Notification,2024-07-29,IT,91,8,3,9.5%,9,2024-08-12
PHISH-2024-09,Invoice Payment Overdue,2024-08-28,All,320,19,4,6.2%,20,2024-09-11
PHISH-2024-10,Invoice Payment Overdue,2024-09-27,HR,43,3,0,9.1%,2,2024-10-11
PHISH-2024-11,Annual Bonus Notification,2024-10-27,Operations,48,1,0,3.7%,1,2024-11-10
PHISH-2024-12,Shipping Document Pending,2024-11-26,All,205,9,5,4.8%,7,2024-12-10
